AphiaID,total_occ,total_ab,mean_ab,inf_epi,TotalD50,log_D50,GravelD50,GravelPercent,MudPercent,Rock10cm,Rock50cm,SandD50,SandPercent,Energy_Moderate energy,Energy_High energy,Energy_Low energy,Energy_NA,Energy_No energy information,Biozone_Deep circalittoral,Biozone_Infralittoral,Biozone_Shallow circalittoral,Biozone_NA,Biozone_Arctic lower bathyal,Biozone_Arctic mid bathyal,Biozone_Atlantic upper bathyal,Biozone_Atlanto-Arctic upper bathyal,Biozone_Arctic upper abyssal,Substrate_Coarse substrate,Substrate_Mixed sediment,Substrate_Sand,Substrate_NA,Substrate_Fine mud,Substrate_Sandy mud,Substrate_Fine mud or Sandy mud or Muddy sand,Substrate_Muddy sand,Substrate_Rock or other hard substrata,Substrate_Sandy mud or Muddy sand,Substrate_Seabed,Substrate_Sediment,Salinity_NA,Salinity_Mesohaline,Salinity_Oligohaline,Salinity_Polyhaline,Salinity_Euhaline,EUNIScomb_A5.15,EUNIScomb_A5.13,EUNIScomb_A5.14,EUNIScomb_A5.27,EUNIScomb_A5.45,EUNIScomb_NA,EUNIScomb_A6.5,EUNIScomb_A3.5,EUNIScomb_A3.6,EUNIScomb_A4.6,EUNIScomb_A5.23,EUNIScomb_A5.23 or A5.24,EUNIScomb_A5.24,EUNIScomb_A5.24 or A5.33 or A5.34,EUNIScomb_A5.25,EUNIScomb_A5.26 or A5.35 or A5.36,EUNIScomb_A5.33,EUNIScomb_A5.34,EUNIScomb_A5.36,EUNIScomb_A5.37,EUNIScomb_A5.43,EUNIScomb_A5.44,EUNIScomb_A4.1,EUNIScomb_A5.35,EUNIScomb_Na,EUNIScomb_A4.2,EUNIScomb_A5,EUNIScomb_A5.25 or A5.26,EUNIScomb_A6,EUNIScomb_A6.2,EUNIScomb_A6.3 or A6.4,EUNIScomb_A3.2,EUNIScomb_A3.1,EUNIScomb_A6.11,EUNIScomb_A3.3,EUNIScomb_A4.3,EUNIScomb_A4.27,EUNIScomb_A5.26,EUNIScomb_A4.33,EUNIScomb_A4.5,EUNIScomb_A4.4,EUNIScomb_A3.4,EUNIScomb_A5.27 or A5.37,EUNIScomb_A4,MSFD_BBHT_Offshore circalittoral coarse sediment,MSFD_BBHT_Circalittoral coarse sediment,MSFD_BBHT_Infralittoral coarse sediment,MSFD_BBHT_Offshore circalittoral mixed sediment,MSFD_BBHT_Offshore circalittoral sand,MSFD_BBHT_NA,MSFD_BBHT_Lower bathyal sediment,MSFD_BBHT_Circalittoral mixed sediment,MSFD_BBHT_Circalittoral mud,MSFD_BBHT_Circalittoral mud or Circalittoral sand,MSFD_BBHT_Circalittoral rock and biogenic reef,MSFD_BBHT_Circalittoral sand,MSFD_BBHT_Infralittoral mixed sediment,MSFD_BBHT_Infralittoral mud,MSFD_BBHT_Infralittoral mud or Infralittoral sand,MSFD_BBHT_Infralittoral rock and biogenic reef,MSFD_BBHT_Infralittoral sand,MSFD_BBHT_Offshore circalittoral mud,MSFD_BBHT_Na,MSFD_BBHT_Upper bathyal sediment,MSFD_BBHT_Upper bathyal rock and biogenic reef,MSFD_BBHT_Offshore circalittoral rock and biogenic reef,MSFD_BBHT_Abyssal,MSFD_BBHT_Offshore circalittoral mud or Offshore circalittoral sand,Oxygen_NA,plank_larv,Bedrock,Cobbles,Large_VLarge_Boulders,Small_Boulders,Mud,Muddy_gravel,Muddy_sand,Sandy_mud,Coarse_sand,Fine_sand,Other_species,Pebbles,Artificial,Caves,Overhangs,Gravel_shingle,Algae,Mixed,Salt_marsh,Seagrass,Biogenic_reef,Under_boulders,Crevices,Rockpools,Pelagic,Mud_grav_sand,Sand_grav_mud,Maerl,Clay,Gravel_sand,Mud_sand_gravel,Strandline
58,2,20,10,NA,1.0051423907279968,-0.005203889555726898,6.070172548294067,54.39017677307129,1.895923376083374,0,0,0.7016918659210205,43.71389961242676,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1,10,10,NA,0.4013437330722809,-0.3964835140834367,5.325194358825684,9.157844543457031,3.752300977706909,0,0,0.36303460597991943,87.08985137939453,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,2,40,20,NA,1.6393120288848877,0.21466162564205077,20.874629974365234,49.275001525878906,4.34207010269165,0.151744082570076,0.3749043643474579,0.5726178288459778,46.38292694091797,NA,1,NA,NA,NA,NA,0.25,0.75,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.25,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,16,159.71428571428572,9.982142857142858,NA,5.187049328960398,0.24679956152585103,9.13325289500657,47.87036957022965,2.3921861219149765,0.018975332138999816,0.20773470882446535,0.6281333662649637,49.737444067514076,0.5008944543828264,0.15026833631484793,0.1252236135957066,0.22361359570661896,NA,0.5843768634466309,0.01252236135957066,0.17948717948717946,0.22361359570661896,NA,NA,NA,NA,NA,0.6302921884317233,0.0208706022659511,0.1252236135957066,0.22361359570661896,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.43828264758497315,0.01252236135957066,0.17948717948717946,0.1252236135957066,0.0208706022659511,0.22361359570661896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43828264758497315,0.17948717948717946,0.01252236135957066,0.0208706022659511,0.1252236135957066,0.22361359570661896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,32,522.5650738150738,16.330158556721056,NA,7.45085379454627,0.6627705775370722,13.162449506503432,50.478775502674615,4.489718816351535,0.019379148509965013,0.14572683999787517,0.36297881198463156,45.031506256559005,0.3791310198445077,0.32531833549243266,0.06208689801554923,0.2334637466475105,NA,0.0382727453520509,0.15082346250137074,0.5621309473582475,0.2334637466475105,NA,0.0076545490704101795,0.0076545490704101795,NA,NA,0.598490055442696,NA,0.05188083258833565,0.2334637466475105,NA,0.0076545490704101795,NA,0.04153351188495873,0.0382727453520509,0.01913637267602545,0.009568186338012725,NA,0.97249982807746,0.027500171922540072,NA,NA,NA,0.0382727453520509,0.0554954807604738,0.5047218293301712,NA,NA,0.2334637466475105,0.015309098140820359,NA,NA,NA,NA,0.05188083258833565,0.027500171922540072,NA,NA,NA,0.006378790892008482,NA,NA,NA,NA,NA,0.0382727453520509,0.01913637267602545,0.009568186338012725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0382727453520509,0.5047218293301712,0.0554954807604738,NA,NA,0.2334637466475105,NA,NA,0.01913637267602545,NA,0.0382727453520509,NA,NA,0.006378790892008482,NA,NA,0.07938100451087574,NA,0.009568186338012725,0.015309098140820359,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,1,19,19,NA,17.142473220825195,1.2340734797032906,9.270890235900879,30.657379150390625,9.592132568359375,0,0,0.21257783472537994,59.75048828125,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,4,27.5,6.875,NA,0.4779855087399483,-0.49274389952661596,5.63077187538147,8.503355264663695,4.213863144318262,0.09090909361839294,0.09090909361839294,0.2326929991443952,87.28277969360352,0.2424242424242424,NA,0.7575757575757576,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.2424242424242424,NA,0.36363636363636365,NA,NA,NA,0.2727272727272727,0.1212121212121212,NA,NA,NA,NA,1,NA,NA,NA,NA,0.2424242424242424,NA,NA,0.36363636363636365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3939393939393939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2424242424242424,NA,NA,NA,0.36363636363636365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3939393939393939,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,24,115.92857142857143,4.830357142857143,NA,2.3432580761611463,-0.001199039943467045,8.674666472276051,38.265161569913225,5.854830716053645,0.036623874019520976,0.10450373503845185,0.49108912323911985,55.880007870992024,0.2846580406654344,0.1417128773875539,0.5563770794824399,0.01725200246457178,NA,0.7202711028958718,0.0862600123228589,0.1417128773875539,0.01725200246457178,NA,NA,0.03450400492914356,NA,NA,0.38817005545286504,NA,0.12939001848428835,0.01725200246457178,0.0948860135551448,NA,0.27171903881700554,0.0862600123228589,NA,NA,0.012322858903265555,NA,1,NA,NA,NA,NA,0.2587800369685767,NA,0.12939001848428835,0.04313000616142945,NA,0.01725200246457178,0.03450400492914356,NA,NA,NA,NA,0.0862600123228589,NA,NA,NA,NA,NA,NA,NA,0.4183610597658657,NA,NA,NA,NA,0.012322858903265555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2587800369685767,0.12939001848428835,NA,NA,0.04313000616142945,0.01725200246457178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0862600123228589,0.4183610597658657,0.012322858903265555,0.03450400492914356,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,3,23.333333333333332,7.777777777777778,NA,1.4736303985118868,0.1625017301858201,7.764968514442444,50.750581741333015,3.867794692516327,0,0,0.4736517891287804,45.38162326812745,1,NA,NA,NA,NA,0.5714285714285714,NA,0.4285714285714286,NA,NA,NA,NA,NA,NA,0.5714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4285714285714286,NA,1,NA,NA,NA,NA,0.5714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4285714285714286,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,129,935.1533466533466,7.249250749250749,NA,0.9664628767411997,-0.3828727078767763,7.112868337010587,17.17235285812543,9.370152777342126,0.05457004218475964,0.1653887137694594,0.3474984418225258,73.45749409804188,0.2013787514036689,0.10265696031945697,0.679924138226959,0.01604015004991515,NA,0.45857006753812984,0.02778868308569827,0.18000612833793672,0.01604015004991515,NA,0.004277373346644041,0.25985043080862547,0.05346716683305051,NA,0.32062477710885956,0.019248180059898184,0.28728266611543674,0.01604015004991515,0.014970806713254143,0.14970806713254142,NA,0.15291609714252447,0.010693433366610102,0.010693433366610102,0.012475672261045118,0.005346716683305051,1,NA,NA,NA,NA,0.154520112147516,NA,0.09445866140505589,0.20353168174447894,0.010693433366610102,0.01604015004991515,0.20638326397557497,NA,NA,NA,NA,0.015313010824653153,NA,NA,NA,NA,0.010693433366610102,NA,NA,0.08982484027952485,NA,NA,NA,0.021386866733220204,0.012475672261045118,0.010693433366610102,0.005346716683305051,0.037427016783135356,0.07164600355628768,0.008554746693288082,0.031010956763169294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154520112147516,0.09445866140505589,NA,0.010693433366610102,0.20353168174447894,0.01604015004991515,NA,NA,0.021386866733220204,NA,0.010693433366610102,0.037427016783135356,NA,0.010693433366610102,NA,NA,0.015313010824653153,0.08982484027952485,0.017822388944350172,0.31759497098832,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
